epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.168,0.45312,0.94719,1.43808,1.11693,0.7826,0.6841,0.76071,0.51996,0.78626,0.6873,0.76535,0.54377,0.82955,0.55057,2.42429,1.34401,0.00332926,0.00332926,0.00332926
2,218.274,0.31047,0.21499,0.7537,0.97698,0.90639,0.86233,0.91756,0.60021,0.91352,0.84632,0.91212,0.63451,0.82529,1.36267,1.73762,1.42386,0.00665926,0.00665926,0.00665926
3,322.363,0.36802,0.22009,0.64565,0.99575,0.7401,0.78549,0.76242,0.46842,0.6913,0.71291,0.65052,0.32425,0.95409,7.30641,1.77684,1.72447,0.00998594,0.00998594,0.00998594
4,425.332,0.38699,0.23274,0.64737,1.01136,0.47282,0.67022,0.51762,0.34581,0.48214,0.67556,0.54921,0.3873,0.81993,0.5981,1.80135,1.31558,0.00998501,0.00998501,0.00998501
5,528.364,0.35952,0.20438,0.458,0.99406,0.88784,0.86169,0.89742,0.65083,0.86839,0.85206,0.87975,0.65317,0.64544,2.44755,1.03623,1.06174,0.00998002,0.00998002,0.00998002
6,631.134,0.33698,0.19477,0.40257,0.97278,0.81895,0.75987,0.78568,0.57748,0.82083,0.76521,0.78779,0.58711,0.76461,0.61102,1.57294,1.2627,0.00997503,0.00997503,0.00997503
7,733.796,0.31414,0.18021,0.32608,0.9719,0.7545,0.72487,0.73411,0.52886,0.75061,0.72595,0.72575,0.53618,0.69715,1.69946,1.4075,1.23461,0.00997003,0.00997003,0.00997003
8,836.553,0.29962,0.16699,0.31696,0.95822,0.95591,0.83305,0.9071,0.80024,0.95469,0.83199,0.92484,0.83315,0.50198,0.53365,0.65326,0.90623,0.00996504,0.00996504,0.00996504
9,939.113,0.28584,0.18417,0.33673,0.95468,0.95434,0.89114,0.94632,0.81973,0.9532,0.89007,0.93981,0.81724,0.53908,0.60373,0.6431,1.12724,0.00996004,0.00996004,0.00996004
10,1041.88,0.28147,0.16851,0.28743,0.9518,0.93369,0.87155,0.93316,0.82672,0.93369,0.87155,0.94652,0.86533,0.50229,0.48432,0.60567,0.94883,0.00995505,0.00995505,0.00995505
11,1144.72,0.27081,0.15907,0.27735,0.95307,0.86247,0.85272,0.89914,0.71137,0.84591,0.8378,0.87341,0.70549,0.6772,1.73686,1.09102,1.09765,0.00995005,0.00995005,0.00995005
12,1247.36,0.26437,0.1636,0.27804,0.94807,0.92921,0.85452,0.92209,0.77334,0.93736,0.87727,0.94486,0.83035,0.74673,0.61486,0.94357,1.11954,0.00994506,0.00994506,0.00994506
13,1350.17,0.25667,0.15276,0.25013,0.94038,0.93378,0.85775,0.92021,0.77428,0.91799,0.87086,0.92078,0.78238,0.64473,1.38494,0.81791,1.16927,0.00994006,0.00994006,0.00994006
14,1452.92,0.2547,0.15355,0.29659,0.94406,0.95703,0.89861,0.93479,0.82572,0.93757,0.88149,0.9189,0.81025,0.50118,1.33717,0.47734,0.9853,0.00993507,0.00993507,0.00993507
15,1555.47,0.2441,0.1305,0.22602,0.93682,0.92387,0.88794,0.93395,0.81102,0.90486,0.87513,0.9022,0.79051,0.46302,2.5714,0.64954,0.96348,0.00993007,0.00993007,0.00993007
16,1657.92,0.23926,0.14826,0.262,0.93698,0.92186,0.83103,0.90655,0.7417,0.91757,0.83162,0.9219,0.75792,0.66596,0.63618,0.88985,1.23737,0.00992508,0.00992508,0.00992508
17,1760.36,0.22992,0.14154,0.23617,0.93343,0.89572,0.76948,0.86746,0.76678,0.90832,0.77161,0.88014,0.76944,0.59429,1.18107,0.82211,1.00619,0.00992008,0.00992008,0.00992008
18,1862.97,0.23285,0.13892,0.22181,0.93464,0.93452,0.86553,0.93072,0.81534,0.91896,0.85806,0.93059,0.80815,0.62674,1.34672,0.67779,1.03834,0.00991509,0.00991509,0.00991509
19,1965.53,0.23621,0.14815,0.23079,0.9414,0.95248,0.87703,0.9445,0.8408,0.94733,0.88581,0.95472,0.86477,0.53932,0.67852,0.68397,0.95242,0.00991009,0.00991009,0.00991009
20,2067.83,0.21892,0.14433,0.20987,0.92896,0.95072,0.88543,0.94122,0.83721,0.93766,0.86446,0.93024,0.83757,0.49828,1.31078,0.61964,0.98218,0.0099051,0.0099051,0.0099051
21,2170.06,0.21794,0.13926,0.22067,0.93342,0.86346,0.84632,0.91489,0.80298,0.84936,0.83458,0.89215,0.78926,0.48225,1.17803,0.97524,0.97973,0.0099001,0.0099001,0.0099001
22,2272.65,0.21865,0.1334,0.21573,0.93151,0.93096,0.83467,0.927,0.80417,0.93964,0.85912,0.94454,0.85013,0.54701,0.74326,0.81468,1.04093,0.00989511,0.00989511,0.00989511
23,2375.15,0.21286,0.14128,0.20222,0.93196,0.90537,0.84745,0.93443,0.82143,0.90953,0.85806,0.94063,0.83822,0.49649,0.71612,0.78522,0.8984,0.00989011,0.00989011,0.00989011
24,2477.63,0.21575,0.12848,0.21999,0.93298,0.89733,0.80215,0.86729,0.69753,0.88756,0.81718,0.90027,0.75194,0.86646,0.48931,0.99582,1.21101,0.00988512,0.00988512,0.00988512
25,2580.08,0.2104,0.13844,0.19833,0.93028,0.91806,0.84893,0.92429,0.81896,0.92179,0.86553,0.94591,0.86084,0.61884,0.50759,0.69757,1.10149,0.00988012,0.00988012,0.00988012
26,2682.59,0.21382,0.13328,0.20246,0.92782,0.97016,0.9022,0.95727,0.85943,0.96396,0.91334,0.96159,0.89307,0.43584,0.52118,0.60938,0.89749,0.00987513,0.00987513,0.00987513
27,2785.26,0.20233,0.11777,0.18877,0.922,0.92839,0.85486,0.93928,0.83567,0.90998,0.86446,0.94308,0.85215,0.42527,0.61628,0.72432,0.86031,0.00987013,0.00987013,0.00987013
28,2887.7,0.20531,0.13625,0.18652,0.92715,0.94695,0.89545,0.9494,0.84686,0.90192,0.90288,0.9223,0.83735,0.48764,1.7991,0.65159,0.93988,0.00986514,0.00986514,0.00986514
29,2990,0.2051,0.1262,0.19097,0.92648,0.92631,0.83778,0.93159,0.84022,0.914,0.85063,0.94629,0.85107,0.47587,0.77763,0.71752,0.96948,0.00986014,0.00986014,0.00986014
30,3092.5,0.20258,0.13166,0.18845,0.92599,0.96427,0.89293,0.95536,0.84397,0.94292,0.90822,0.96144,0.87666,0.47307,0.52065,0.67559,0.87152,0.00985515,0.00985515,0.00985515
31,3195.03,0.19909,0.12405,0.21961,0.92219,0.97355,0.90362,0.94647,0.8575,0.96495,0.90822,0.96286,0.88891,0.51927,0.47764,0.54989,0.91947,0.00985015,0.00985015,0.00985015
32,3297.31,0.20102,0.12399,0.18744,0.92312,0.9611,0.88367,0.92841,0.82461,0.93028,0.88687,0.9154,0.80015,0.54672,1.97652,0.74478,0.9209,0.00984515,0.00984515,0.00984515
33,3399.66,0.19757,0.12168,0.17541,0.92296,0.95891,0.89653,0.93504,0.85407,0.96532,0.87727,0.94833,0.8522,0.46016,0.88598,0.49694,0.9459,0.00984016,0.00984016,0.00984016
34,3502.05,0.20153,0.12495,0.18135,0.92487,0.9718,0.84586,0.94127,0.86393,0.96951,0.84846,0.9554,0.89137,0.46941,0.48553,0.88304,0.81058,0.00983516,0.00983516,0.00983516
35,3604.62,0.1946,0.11533,0.18363,0.92475,0.94071,0.89741,0.94787,0.84462,0.92179,0.89307,0.93586,0.84037,0.56098,1.17449,0.68186,0.95957,0.00983017,0.00983017,0.00983017
36,3707.08,0.19068,0.12816,0.16741,0.92029,0.9544,0.86766,0.94166,0.85276,0.94944,0.88173,0.95777,0.89236,0.49706,0.38044,0.60348,0.91058,0.00982518,0.00982518,0.00982518
37,3809.63,0.19702,0.11956,0.22691,0.91842,0.97823,0.69691,0.86698,0.76009,0.9772,0.69584,0.88712,0.78326,0.69596,0.8064,0.94127,1.02399,0.00982018,0.00982018,0.00982018
38,3912.25,0.19289,0.11581,0.17042,0.91761,0.96464,0.87338,0.93231,0.826,0.95904,0.87467,0.95335,0.86643,0.62388,0.51719,1.12771,0.99589,0.00981519,0.00981519,0.00981519
39,4014.67,0.18581,0.11633,0.26711,0.91959,0.90798,0.85165,0.91255,0.71691,0.9045,0.84907,0.92508,0.76483,0.73013,0.49175,1.29291,1.15886,0.00981019,0.00981019,0.00981019
40,4116.95,0.18721,0.1182,0.16585,0.92096,0.96416,0.81537,0.93516,0.82677,0.96358,0.81891,0.94536,0.8664,0.54351,0.47682,0.73972,1.01384,0.0098052,0.0098052,0.0098052
41,4219.42,0.18447,0.12229,0.16677,0.92031,0.97954,0.87086,0.94017,0.81392,0.97158,0.8826,0.95721,0.86565,0.66369,0.55144,0.74269,1.09165,0.0098002,0.0098002,0.0098002
42,4321.64,0.18569,0.11678,0.16914,0.92192,0.85439,0.65315,0.8157,0.63511,0.77337,0.81323,0.87028,0.67954,1.04393,0.52897,1.28626,1.30559,0.0097952,0.0097952,0.0097952
43,4423.9,0.18538,0.12092,0.20435,0.91833,0.86546,0.87513,0.93246,0.83405,0.85523,0.85806,0.9177,0.83806,0.44961,1.43403,1.01716,0.95235,0.00979021,0.00979021,0.00979021
44,4526.19,0.19079,0.11273,0.17649,0.92136,0.92355,0.8666,0.92381,0.76904,0.90721,0.85486,0.91744,0.78941,0.74129,1.56146,0.76393,1.12391,0.00978521,0.00978521,0.00978521
45,4628.73,0.18524,0.11159,0.15882,0.92317,0.94555,0.87105,0.93842,0.84301,0.94749,0.88583,0.95173,0.87895,0.4641,0.43243,0.68634,0.89644,0.00978022,0.00978022,0.00978022
46,4731.2,0.18306,0.10884,0.16161,0.91538,0.95736,0.83876,0.94033,0.84391,0.96082,0.85272,0.94854,0.87156,0.48618,0.52271,0.88359,0.98794,0.00977523,0.00977523,0.00977523
